Localité;ID;Code postal;ssCommune;Sous-commune;Commune principale;Province;;;;;;;;;;;;;;;;;;;;;
Sint-Pieters-Kapelle;1505;1541;VRAI;Oui;HERNE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Biévène;1506;1547;FAUX;Non;BIÉVÈNE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Hoeilaart;1507;1560;FAUX;Non;HOEILAART;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Galmaarden;1508;1570;FAUX;Non;GALMAARDEN;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Tollembeek;1509;1570;VRAI;Oui;GALMAARDEN;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Vollezele;1510;1570;VRAI;Oui;GALMAARDEN;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Oudenaken;1600;1600;VRAI;Oui;SINT-PIETERS-LEEUW;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Sint-Laureins-Berchem;1601;1600;VRAI;Oui;SINT-PIETERS-LEEUW;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Sint-Pieters-Leeuw;1602;1600;FAUX;Non;SINT-PIETERS-LEEUW;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Ruisbroek;1603;1601;VRAI;Oui;SINT-PIETERS-LEEUW;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Vlezenbeek;1604;1602;VRAI;Oui;SINT-PIETERS-LEEUW;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Drogenbos;1605;1620;FAUX;Non;DROGENBOS;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Linkebeek;1606;1630;FAUX;Non;LINKEBEEK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Rhode-Saint-Genèse;1607;1640;FAUX;Non;RHODE-SAINT-GENÈSE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Beersel;1608;1650;FAUX;Non;BEERSEL;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Lot;1609;1651;VRAI;Oui;BEERSEL;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Alsemberg;1610;1652;VRAI;Oui;BEERSEL;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Dworp;1611;1653;VRAI;Oui;BEERSEL;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Huizingen;1612;1654;VRAI;Oui;BEERSEL;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Bogaarden;1613;1670;VRAI;Oui;PEPINGEN;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Heikruis;1614;1670;VRAI;Oui;PEPINGEN;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Pepingen;1615;1670;FAUX;Non;PEPINGEN;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Elingen;1616;1671;VRAI;Oui;PEPINGEN;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Beert;1617;1673;VRAI;Oui;PEPINGEN;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Bellingen;1618;1674;VRAI;Oui;PEPINGEN;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Dilbeek;1700;1700;FAUX;Non;DILBEEK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Sint-Martens-Bodegem;1701;1700;VRAI;Oui;DILBEEK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Sint-Ulriks-Kapelle;1702;1700;VRAI;Oui;DILBEEK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Itterbeek;1703;1701;VRAI;Oui;DILBEEK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Groot-Bijgaarden;1704;1702;VRAI;Oui;DILBEEK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Schepdaal;1705;1703;VRAI;Oui;DILBEEK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Asse;1706;1730;FAUX;Non;ASSE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Bekkerzeel;1707;1730;VRAI;Oui;ASSE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Kobbegem;1708;1730;VRAI;Oui;ASSE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Mollem;1709;1730;VRAI;Oui;ASSE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Relegem;1710;1731;VRAI;Oui;ASSE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Zellik;1711;1731;VRAI;Oui;ASSE;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
HighCo DATA;1712;1733;FAUX;;HighCo DATA;;;;;;;;;;;;;;;;;;;;;;
Ternat;1713;1740;FAUX;Non;TERNAT;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Wambeek;1714;1741;VRAI;Oui;TERNAT;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Sint-Katherina-Lombeek;1715;1742;VRAI;Oui;TERNAT;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Mazenzele;1716;1745;VRAI;Oui;OPWIJK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Opwijk;1717;1745;FAUX;Non;OPWIJK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Gaasbeek;1718;1750;VRAI;Oui;LENNIK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Sint-Kwintens-Lennik;1719;1750;VRAI;Oui;LENNIK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Sint-Martens-Lennik;1720;1750;VRAI;Oui;LENNIK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Gooik;1721;1755;FAUX;Non;GOOIK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Kester;1722;1755;VRAI;Oui;GOOIK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Leerbeek;1723;1755;VRAI;Oui;GOOIK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Oetingen;1724;1755;VRAI;Oui;GOOIK;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Onze-Lieve-Vrouw-Lombeek;1725;1760;VRAI;Oui;ROOSDAAL;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Pamel;1726;1760;VRAI;Oui;ROOSDAAL;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Roosdaal;1727;1760;FAUX;Non;ROOSDAAL;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
Strijtem;1728;1760;VRAI;Oui;ROOSDAAL;BRABANT FLAMAND;;;;;;;;;;;;;;;;;;;;;
